 neg. daughter ne22 z=10 n=12 a=22 Q= -8.0261
 pos. daughter f22  z= 9 n=13 a=22 Q=  2.8260
              +++++++++ne22 -->f22  +++++++++---------f22  -->ne22 ----------
    t9  lrho   uf   lbeta+  leps-     lnu    lbeta-   leps+   lnubar
  1.50  6.0  0.093 -78.239 -39.029  -39.421  -0.769  -6.895   -0.303
  2.00  6.0  0.001 -57.723 -29.816  -30.077  -0.732  -5.448   -0.243
  3.00  6.0 -0.212 -37.209 -20.458  -20.532  -0.618  -3.798   -0.079
  5.00  6.0 -0.420 -20.838 -12.465  -12.301  -0.423  -2.430    0.175
 10.00  6.0 -0.491  -8.707  -5.861   -5.362  -0.228  -1.136    0.504
 30.00  6.0 -0.509  -1.229  -0.291    0.845   1.870   1.325    3.086
100.00  6.0 -0.511   0.999   4.051    5.670   3.399   4.847    6.563
  0.01  7.0  0.711 -99.999 -99.999  -99.999  -0.805 -99.999   -0.360
  0.10  7.0  0.711 -99.999 -99.999  -99.999  -0.805 -92.863   -0.361
  0.20  7.0  0.711 -99.999 -99.999  -99.999  -0.806 -48.551   -0.362
  0.40  7.0  0.708 -99.999 -99.999  -99.999  -0.806 -26.096   -0.362
  0.70  7.0  0.701 -99.999 -77.001  -77.734  -0.806 -16.224   -0.362
  1.00  7.0  0.689 -99.999 -54.653  -55.226  -0.805 -12.140   -0.359
  1.50  7.0  0.662 -78.239 -37.118  -37.510  -0.790  -8.806   -0.334
  2.00  7.0  0.622 -57.723 -28.250  -28.511  -0.750  -7.014   -0.271
  3.00  7.0  0.510 -37.209 -19.244  -19.318  -0.632  -5.009   -0.099
  5.00  7.0  0.187 -20.837 -11.854  -11.689  -0.431  -3.028    0.158
 10.00  7.0 -0.315  -8.707  -5.772   -5.274  -0.231  -1.220    0.484
 30.00  7.0 -0.490  -1.228  -0.288    0.848   1.869   1.321    3.084
100.00  7.0 -0.509   0.999   4.051    5.670   3.399   4.847    6.563
  0.01  8.0  1.936 -99.999 -99.999  -99.999  -1.031 -99.999   -0.677
  0.10  8.0  1.936 -99.999 -99.999  -99.999  -1.031 -99.999   -0.676
  0.20  8.0  1.935 -99.999 -99.999  -99.999  -1.029 -79.405   -0.673
  0.40  8.0  1.934 -99.999 -99.999  -99.999  -1.027 -41.542   -0.671
  0.70  8.0  1.931 -99.999 -68.153  -68.885  -1.026 -25.080   -0.669
  1.00  8.0  1.925 -99.999 -48.430  -49.004  -1.022 -18.370   -0.663
  1.50  8.0  1.913 -78.239 -32.922  -33.313  -0.999 -13.009   -0.619
  2.00  8.0  1.895 -57.723 -25.050  -25.310  -0.942 -10.220   -0.519
  3.00  8.0  1.844 -37.209 -17.004  -17.078  -0.784  -7.248   -0.279
  5.00  8.0  1.681 -20.837 -10.348  -10.184  -0.536  -4.529    0.036
 10.00  8.0  0.982  -8.704  -5.118   -4.621  -0.288  -1.857    0.356
 30.00  8.0 -0.302  -1.226  -0.257    0.877   1.868   1.291    3.072
100.00  8.0 -0.492   1.000   4.052    5.671   3.399   4.846    6.562
  0.01  9.0  4.671 -99.999 -99.999  -99.999  -2.597 -99.999   -2.456
  0.10  9.0  4.671 -99.999 -99.999  -99.999  -2.570 -99.999   -2.444
  0.20  9.0  4.671 -99.999 -99.999  -99.999  -2.568 -99.999   -2.455
  0.40  9.0  4.671 -99.999 -82.749  -83.720  -2.566 -76.020   -2.460
  0.70  9.0  4.665 -99.999 -48.644  -49.368  -2.551 -44.771   -2.447
  1.00  9.0  4.665 -99.999 -34.783  -35.356  -2.511 -32.179   -2.364
  1.50  9.0  4.660 -78.239 -23.849  -24.235  -2.257 -22.241   -1.900
  2.00  9.0  4.650 -57.723 -18.251  -18.497  -1.917 -17.164   -1.449
  3.00  9.0  4.625 -37.209 -12.438  -12.487  -1.441 -11.920   -0.924
  5.00  9.0  4.551 -20.837  -7.500   -7.319  -1.011  -7.422   -0.477
 10.00  9.0  4.197  -8.703  -3.505   -3.002  -0.619  -3.472   -0.036
 30.00  9.0  1.461  -1.206   0.034    1.156   1.852   1.005    2.970
100.00  9.0 -0.324   1.002   4.060    5.679   3.397   4.838    6.554
  0.01 10.0 10.608 -99.999 -99.999  -99.999 -99.999 -99.999  -99.999
  0.10 10.0 10.608 -99.999 -66.785  -67.325 -59.641 -99.999  -61.228
  0.20 10.0 10.608 -99.999 -34.659  -35.193 -32.762 -99.999  -34.050
  0.40 10.0 10.608 -99.999 -18.574  -19.084 -18.875 -99.999  -19.863
  0.70 10.0 10.608 -99.999 -11.628  -12.084 -12.585 -87.560  -13.333
  1.00 10.0 10.603 -99.999  -8.805   -9.200  -9.876 -62.105  -10.470
  1.50 10.0 10.603 -78.239  -6.501   -6.789  -7.639 -42.210   -8.059
  2.00 10.0 10.598 -57.723  -5.274   -5.467  -6.407 -32.153   -6.705
  3.00 10.0 10.588 -37.209  -3.884   -3.920  -5.049 -21.939   -5.175
  5.00 10.0 10.552 -20.837  -2.586   -2.347  -3.767 -13.471   -3.682
 10.00 10.0 10.389  -8.703  -0.915   -0.273  -2.090  -6.592   -1.383
 30.00 10.0  8.651  -1.185   1.182    2.275   1.651  -0.192    2.600
100.00 10.0  1.351   1.027   4.143    5.762   3.376   4.756    6.472
  0.01 11.0 23.419 -99.999   2.164    2.542 -99.999 -99.999  -99.999
  0.10 11.0 23.424 -99.999   2.166    2.545 -99.999 -99.999  -99.999
  0.20 11.0 23.419 -99.999   2.164    2.542 -99.999 -99.999  -99.999
  0.40 11.0 23.419 -99.999   2.164    2.543 -99.999 -99.999  -99.999
  0.70 11.0 23.424 -99.999   2.168    2.548 -93.781 -99.999  -94.526
  1.00 11.0 23.419 -99.999   2.168    2.549 -66.138 -99.999  -66.729
  1.50 11.0 23.419 -78.239   2.172    2.558 -44.504 -85.271  -44.921
  2.00 11.0 23.419 -57.723   2.179    2.573 -33.581 -64.461  -33.875
  3.00 11.0 23.414 -37.209   2.203    2.633 -22.500 -43.486  -22.622
  5.00 11.0 23.399 -20.837   2.285    2.833 -13.361 -26.421  -13.269
 10.00 11.0 23.322  -8.703   2.524    3.248  -5.981 -13.111   -5.608
 30.00 11.0 22.504  -1.183   3.263    4.319   0.187  -2.519    0.944
100.00 11.0 14.012   1.131   4.758    6.384   3.107   4.129    5.846
