 neg. daughter ne21 z=10 n=11 a=21 Q= -5.7331
 pos. daughter f21  z= 9 n=12 a=21 Q= -0.0470
              +++++++++ne21 -->f21  +++++++++---------f21  -->ne21 ----------
    t9  lrho   uf   lbeta+  leps-     lnu    lbeta-   leps+   lnubar
  0.01  1.0 -0.003 -99.999 -99.999  -99.999  -0.760 -99.999   -0.296
  0.10  1.0 -0.058 -99.999 -99.999  -99.999  -0.760 -53.988   -0.296
  0.20  1.0 -0.134 -99.999 -99.999  -99.999  -0.760 -27.147   -0.296
  0.40  1.0 -0.306 -99.999 -80.867  -81.844  -0.760 -13.199   -0.296
  0.70  1.0 -0.503 -65.124 -49.177  -49.904  -0.760  -7.442   -0.296
  1.00  1.0 -0.511 -45.998 -35.367  -35.933  -0.759  -5.974   -0.295
  1.50  1.0 -0.511 -31.138 -24.419  -24.799  -0.758  -4.748   -0.292
  2.00  1.0 -0.511 -23.725 -18.835  -19.081  -0.757  -4.047   -0.290
  3.00  1.0 -0.511 -16.335 -13.091  -13.142  -0.759  -3.210   -0.289
  5.00  1.0 -0.511 -10.466  -8.203   -7.999  -0.781  -2.296   -0.288
 10.00  1.0 -0.511  -6.138  -3.968   -3.390  -0.790  -1.098    0.033
 30.00  1.0 -0.511  -0.688   0.277    1.441   1.373   1.266    2.723
100.00  1.0 -0.511   1.299   4.241    5.879   2.861   4.669    6.347
  0.01  2.0 -0.001 -99.999 -99.999  -99.999  -0.760 -99.999   -0.296
  0.10  2.0 -0.038 -99.999 -99.999  -99.999  -0.760 -54.989   -0.296
  0.20  2.0 -0.095 -99.999 -99.999  -99.999  -0.760 -28.148   -0.296
  0.40  2.0 -0.227 -99.999 -79.867  -80.844  -0.760 -14.199   -0.296
  0.70  2.0 -0.446 -65.124 -48.764  -49.491  -0.760  -7.855   -0.296
  1.00  2.0 -0.506 -45.998 -35.345  -35.911  -0.759  -5.996   -0.295
  1.50  2.0 -0.511 -31.138 -24.418  -24.798  -0.758  -4.750   -0.292
  2.00  2.0 -0.511 -23.725 -18.835  -19.081  -0.757  -4.048   -0.290
  3.00  2.0 -0.511 -16.335 -13.091  -13.142  -0.759  -3.210   -0.289
  5.00  2.0 -0.511 -10.466  -8.203   -7.999  -0.781  -2.296   -0.288
 10.00  2.0 -0.511  -6.138  -3.968   -3.390  -0.790  -1.098    0.033
 30.00  2.0 -0.511  -0.688   0.277    1.441   1.373   1.266    2.723
100.00  2.0 -0.511   1.299   4.241    5.879   2.861   4.669    6.347
  0.01  3.0  0.003 -99.999 -99.999  -99.999  -0.760 -99.999   -0.296
  0.10  3.0 -0.018 -99.999 -99.999  -99.999  -0.760 -56.007   -0.296
  0.20  3.0 -0.055 -99.999 -99.999  -99.999  -0.760 -29.154   -0.296
  0.40  3.0 -0.147 -99.999 -78.864  -79.841  -0.760 -15.202   -0.296
  0.70  3.0 -0.314 -65.124 -47.815  -48.543  -0.760  -8.803   -0.296
  1.00  3.0 -0.465 -45.998 -35.139  -35.705  -0.759  -6.202   -0.295
  1.50  3.0 -0.506 -31.138 -24.403  -24.784  -0.758  -4.764   -0.292
  2.00  3.0 -0.510 -23.725 -18.832  -19.077  -0.757  -4.051   -0.290
  3.00  3.0 -0.511 -16.335 -13.090  -13.142  -0.759  -3.211   -0.289
  5.00  3.0 -0.511 -10.466  -8.203   -7.999  -0.781  -2.296   -0.288
 10.00  3.0 -0.511  -6.138  -3.968   -3.390  -0.790  -1.098    0.033
 30.00  3.0 -0.511  -0.688   0.277    1.441   1.373   1.266    2.723
100.00  3.0 -0.511   1.299   4.241    5.879   2.861   4.669    6.347
  0.01  4.0  0.012 -99.999 -99.999  -99.999  -0.760 -99.999   -0.296
  0.10  4.0  0.005 -99.999 -99.999  -99.999  -0.760 -57.163   -0.296
  0.20  4.0 -0.013 -99.999 -99.999  -99.999  -0.760 -30.208   -0.296
  0.40  4.0 -0.067 -99.999 -77.847  -78.823  -0.760 -16.220   -0.296
