 neg. daughter f21  z= 9 n=12 a=21 Q= -0.0470
 pos. daughter o21  z= 8 n=13 a=21 Q=  8.1400
              +++++++++f21  -->o21  +++++++++---------o21  -->f21  ----------
    t9  lrho   uf   lbeta+  leps-     lnu    lbeta-   leps+   lnubar
  2.00  6.0  0.001 -29.194 -23.970  -24.236  -0.299  -5.355    0.311
  3.00  6.0 -0.212 -20.034 -16.861  -16.940  -0.273  -3.731    0.341
  5.00  6.0 -0.420 -12.733 -10.657  -10.478  -0.236  -2.406    0.387
 10.00  6.0 -0.491  -7.109  -5.227   -4.625  -0.197  -1.067    0.535
 30.00  6.0 -0.509  -1.516  -0.001    1.142   1.715   1.593    3.056
100.00  6.0 -0.511   0.333   3.933    5.560   2.963   4.794    6.480
  0.01  7.0  0.711 -99.999 -99.999  -99.999  -0.330 -99.999    0.271
  0.10  7.0  0.711 -99.999 -99.999  -99.999  -0.329 -92.707    0.273
  0.20  7.0  0.711 -99.999 -99.999  -99.999  -0.329 -48.412    0.273
  0.40  7.0  0.708 -99.999 -99.740  -99.999  -0.329 -25.969    0.273
  0.70  7.0  0.701 -80.156 -58.671  -59.406  -0.329 -16.106    0.273
  1.00  7.0  0.689 -56.641 -42.083  -42.660  -0.328 -12.027    0.274
  1.50  7.0  0.662 -38.347 -29.030  -29.425  -0.321  -8.703    0.282
  2.00  7.0  0.622 -29.194 -22.405  -22.670  -0.309  -6.921    0.296
  3.00  7.0  0.510 -20.032 -15.647  -15.726  -0.282  -4.941    0.327
  5.00  7.0  0.187 -12.713 -10.047   -9.871  -0.242  -3.004    0.373
 10.00  7.0 -0.315  -7.100  -5.140   -4.538  -0.199  -1.153    0.516
 30.00  7.0 -0.490  -1.516   0.002    1.145   1.715   1.589    3.054
100.00  7.0 -0.509   0.333   3.933    5.560   2.963   4.794    6.480
  0.01  8.0  1.936 -99.999 -99.999  -99.999  -0.403 -99.999    0.166
  0.10  8.0  1.936 -99.999 -99.999  -99.999  -0.404 -99.999    0.166
  0.20  8.0  1.935 -99.999 -99.999  -99.999  -0.404 -79.266    0.166
