 neg. daughter ne23 z=10 n=13 a=23 Q= -5.1551
 pos. daughter f23  z= 9 n=14 a=23 Q=  3.3500
              +++++++++ne23 -->f23  +++++++++---------f23  -->ne23 ----------
    t9  lrho   uf   lbeta+  leps-     lnu    lbeta-   leps+   lnubar
  0.01  1.0 -0.003 -99.999 -99.999  -99.999  -0.475 -99.999   -0.025
  0.10  1.0 -0.058 -99.999 -99.999  -99.999  -0.475 -53.776   -0.025
  0.20  1.0 -0.134 -99.999 -99.999  -99.999  -0.475 -26.937   -0.025
  0.40  1.0 -0.306 -99.999 -99.999  -99.999  -0.475 -12.992   -0.024
  0.70  1.0 -0.503 -84.729 -69.415  -70.148  -0.474  -7.239   -0.022
  1.00  1.0 -0.511 -59.715 -49.514  -50.088  -0.468  -5.775   -0.013
  1.50  1.0 -0.511 -40.253 -33.810  -34.202  -0.452  -4.554    0.011
  2.00  1.0 -0.511 -30.517 -25.831  -26.092  -0.436  -3.859    0.036
  3.00  1.0 -0.511 -20.778 -17.674  -17.748  -0.407  -3.035    0.080
  5.00  1.0 -0.511 -13.004 -10.863  -10.689  -0.350  -2.136    0.180
 10.00  1.0 -0.511  -7.253  -5.263   -4.691  -0.205  -0.936    0.525
 30.00  1.0 -0.511  -1.215  -0.041    1.115   1.868   1.539    3.139
100.00  1.0 -0.511   1.024   4.109    5.741   3.359   4.910    6.603
  0.01  2.0 -0.001 -99.999 -99.999  -99.999  -0.475 -99.999   -0.025
  0.10  2.0 -0.038 -99.999 -99.999  -99.999  -0.475 -54.778   -0.025
  0.20  2.0 -0.095 -99.999 -99.999  -99.999  -0.475 -27.938   -0.025
  0.40  2.0 -0.227 -99.999 -99.999  -99.999  -0.475 -13.992   -0.024
  0.70  2.0 -0.446 -84.729 -69.002  -69.735  -0.474  -7.652   -0.022
  1.00  2.0 -0.506 -59.715 -49.492  -50.066  -0.468  -5.796   -0.013
  1.50  2.0 -0.511 -40.253 -33.809  -34.200  -0.452  -4.556    0.011
  2.00  2.0 -0.511 -30.517 -25.831  -26.092  -0.436  -3.860    0.036
  3.00  2.0 -0.511 -20.778 -17.674  -17.747  -0.407  -3.035    0.080
  5.00  2.0 -0.511 -13.004 -10.863  -10.689  -0.350  -2.136    0.180
 10.00  2.0 -0.511  -7.253  -5.263   -4.691  -0.205  -0.936    0.525
 30.00  2.0 -0.511  -1.215  -0.041    1.115   1.868   1.539    3.139
100.00  2.0 -0.511   1.024   4.109    5.741   3.359   4.910    6.603
  0.01  3.0  0.003 -99.999 -99.999  -99.999  -0.475 -99.999   -0.025
  0.10  3.0 -0.018 -99.999 -99.999  -99.999  -0.475 -55.795   -0.025
