 neg. daughter mg21 z=12 n= 9 a=21 Q= 10.9120
 pos. daughter na21 z=11 n=10 a=21 Q= -2.1858
              +++++++++mg21 -->na21 +++++++++---------na21 -->mg21 ----------
    t9  lrho   uf   lbeta+  leps-     lnu    lbeta-   leps+   lnubar
  5.00  6.0 -0.420   0.713  -0.897    1.453 -19.384 -13.875  -13.705
 10.00  6.0 -0.491   0.708   0.105    1.596  -8.811  -6.506   -5.996
 30.00  6.0 -0.509   2.291   2.178    3.729  -2.181  -0.613    0.448
100.00  6.0 -0.511   3.793   5.388    7.139  -0.181   3.713    5.290
  0.01  7.0  0.711   0.745  -0.406    1.506 -99.999 -99.999  -99.999
  0.10  7.0  0.711   0.745  -0.406    1.506 -99.999 -99.999  -99.999
  0.20  7.0  0.711   0.745  -0.405    1.506 -99.999 -99.999  -99.999
  0.40  7.0  0.708   0.745  -0.405    1.506 -99.999 -99.999  -99.999
  0.70  7.0  0.701   0.744  -0.405    1.505 -99.999 -99.999  -99.999
  1.00  7.0  0.689   0.741  -0.406    1.502 -99.999 -72.657  -73.230
  1.50  7.0  0.662   0.735  -0.407    1.497 -69.040 -48.878  -49.269
  2.00  7.0  0.622   0.729  -0.407    1.493 -51.289 -36.856  -37.116
  3.00  7.0  0.510   0.721  -0.398    1.488 -33.557 -24.629  -24.701
  5.00  7.0  0.187   0.714  -0.349    1.491 -19.389 -14.486  -14.316
 10.00  7.0 -0.315   0.710   0.188    1.624  -8.813  -6.595   -6.084
 30.00  7.0 -0.490   2.291   2.181    3.731  -2.182  -0.617    0.445
100.00  7.0 -0.509   3.793   5.389    7.139  -0.181   3.713    5.290
  0.01  8.0  1.936   0.745   0.693    1.830 -99.999 -99.999  -99.999
  0.10  8.0  1.936   0.745   0.693    1.830 -99.999 -99.999  -99.999
  0.20  8.0  1.935   0.745   0.693    1.830 -99.999 -99.999  -99.999
  0.40  8.0  1.934   0.745   0.693    1.830 -99.999 -99.999  -99.999
  0.70  8.0  1.931   0.744   0.692    1.829 -99.999 -99.999  -99.999
  1.00  8.0  1.925   0.741   0.690    1.827 -99.999 -78.887  -79.460
  1.50  8.0  1.913   0.735   0.686    1.823 -69.096 -53.081  -53.472
  2.00  8.0  1.895   0.729   0.684    1.821 -51.344 -40.063  -40.323
  3.00  8.0  1.844   0.721   0.685    1.821 -33.611 -26.869  -26.941
  5.00  8.0  1.681   0.714   0.696    1.834 -19.440 -15.992  -15.821
 10.00  8.0  0.982   0.715   0.768    1.922  -8.847  -7.248   -6.727
 30.00  8.0 -0.302   2.292   2.211    3.750  -2.187  -0.648    0.414
100.00  8.0 -0.492   3.793   5.389    7.140  -0.181   3.712    5.289
  0.01  9.0  4.671   0.745   1.915    2.913 -99.999 -99.999  -99.999
  0.10  9.0  4.671   0.745   1.915    2.913 -99.999 -99.999  -99.999
  0.20  9.0  4.671   0.745   1.916    2.913 -99.999 -99.999  -99.999
